International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1980&end=2014&vs=INTL.44-1-AFRC-QBTU.A~INTL.44-1-ASOC-QBTU.A~INTL.44-1-CSAM-QBTU.A~INTL.44-1-EURA-QBTU.A~INTL.44-1-EURO-QBTU.A~INTL.44-1-MIDE-QBTU.A~INTL.44-1-NOAM-QBTU.A~INTL.44-1-WORL-QBTU.A&c=4100000002000060000000000000g000200000000000000001&pa=rjugfvg000000000000000000000000000vg018001&f=A&ug=g&ct=1&tl_type=a&tl_id=1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 20 2016 08:13:38 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Motor Gasoline,1000 bbl/d,1741,1679,1218,993,900,910,868,906,890,873,899,986,988,1003,1069,1127,1178,1192,1209,1211,1224,1236,1251,NA,
,Jet Fuel,1000 bbl/d,550,406,398,327,261,261,249,230,269,247,259,284,271,280,292,302,284,301,310,278,301,327,331,NA,
,Kerosene,1000 bbl/d,127,94,141,124,75,56,33,20,15,22,15,22,9.9,10,11,14,20,32,13,15,12,11,7.8,NA,
,Distillate Fuel Oil,1000 bbl/d,2294,2218,1846,1964,1372,1681,1287,1322,1286,1317,1382,1559,1520,1546,1617,1723,1837,1741,1925,1886,1916,1931,1886,NA,
,Residual Fuel Oil,1000 bbl/d,3194,3122,2382,1804,1847,1634,1675,1630,1483,1437,1370,1479,1550,1519,1569,1670,1667,1608,1605,1672,1758,1753,1759,NA,
,Liquefied Petroleum Gases,1000 bbl/d,202,290,333,251,235,243,225,206,180,218,257,244,340,368,396,416,441,449,466,525,534,549,582,NA,
,Other Products,1000 bbl/d,1123,936,1186,880,852,609,631,653,542,684,749,811,798,878,946,893,885,881,885,889,1054,1119,1122,NA,
,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,Bcf,28987,29047,28600,27526,26081,25550,24582,23249,23664,24063,24825,25049,25838,26901,27987,28697,29404,30143,30722,27273,30018,32256,30862,31665,
,Vented and Flared Natural Gas,Bcf,113,424,793,318,289,283,278,271,288,290,286,283,441,325,667,750,742,798,921,847,745,770,785,683,
,Reinjected Natural Gas,Bcf,92,,,,,,,,,32,32,32,28,343,474,560,624,939,1040,1155,1370,1318,664,739,
,Marketed Natural Gas,Bcf,28782,28623,27807,27208,25792,25267,24304,22979,23377,23741,24507,24734,25368,26234,26846,27386,28039,28405,28761,25271,27903,30168,29413,30243,
,Dry Natural Gas,Bcf,28782,28623,27461,26858,25414,24875,23908,22615,22997,23360,24130,24365,24914,25757,26355,26793,27463,27752,28088,24507,26848,28464,28469,29071,20437
,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Energy,Quad Btu,46.528,46.488,46.41,46.963,48.151,49.212,51.744,51.505,50.462,50.809,50.637,51.267,51.021,50.245,50.303,48.612,47.349,46.333,46.425,44.634,45.283,43.498,43.699,42.063,
